school,year_of_pub,acceptance_rate,top10pct,alumni_giving_rate,top25pct,usnews_score,usnews_academic_rep_old,sat_act_25_75,avg_sat_act,usnews_academic_rep_new
Arizona State U.,1989,78,23,,,,,,,
Auburn U.,1989,84,28,,,,,,,
Ball State U.,1989,91,13,,,,,,,
Baylor U,1989,86,39,,,,,,,
Boston College,1989,33,83,,,,,,,
Bowling Green State U.,1989,69,20,,,,,,,
Brigham Young U.,1989,81,,,,,,,,
Clemson U.,1989,69,33,,,,,,,
Colorado State U.,1989,61,18,,,,,,,
Duke U.,1989,23,93,,,,,,,
Florida Atlantic U.,1989,,,,,,,,,
Florida Inst. Of Tech,1989,71,30,,,,,,,
Florida State U.,1989,59,,,,,,,,
Georgia Inst. Of Tech,1989,66,75,,,,,,,
Washington State U.,1989,88,8,,,,,,,
West Virginia U.,1989,84,,,,,,,,
Western Michigan U.,1989,73,20,,,,,,,
SUNY Buffalo State College,1989,56,,,40,,,,,
Arkansas State U.,1989,91,,,,,,,,
East Carolina U.,1989,82,,,31,,,,,
Florida Int. U.,1989,45,,,77,,,,,
Wake Forest U.,1989,34,,,86,,,,,
Central Michigan U.,1989,70,,,50,,,,,
San Diego State U.,1989,73,,,,,,,,
Georgia Inst. Of Tech.,1990,65,80,,,,,,,
Penn State U. at Univ. Park,1990,44,53,,,,,,,
Purdue U. at West Lafayette,1990,77,59,,,,,,,
Rutgers State U. at New Brunswick,1990,52,44,,,,,,,
Tulane U.,1990,70,37,,,,,,,
U. of Georgia,1990,69,52,,,,,,,
U. of Illinois at Urbana,1990,65,64,,,,,,,
U. of Miami,1990,57,42,,,,,,,
U. of Notre Dame,1990,34,81,,,,,,,
U. of Southern California,1990,74,40,,,,,,,
U. of Washington,1990,65,50,,,,,,,
U. of Wisconsin at Madison,1990,72,32,,,,,,,
Vanderbilt U.,1990,58,56,,,,,,,
Virginia Tech,1990,66,35,,,,,,,
Boston College,1990,37,85,,,,,,,
Clemson U.,1990,65,34,,,,,,,
Colorado State U.,1990,59,20,,,,,,,
Florida State U.,1990,54,45,,,,,,,
Indiana U. at Bloomington,1990,75,30,,,,,,,
Iowa State U.,1990,87,28,,,,,,,
Miami U.,1990,65,53,,,,,,,
Michigan State U.,1990,73,31,,,,,,,
North Carolina State U. at Raleigh,1990,61,37,,,,,,,
Ohio State U.,1990,78,25,,,,,,,
Rutgers State U. at Newark,1990,48,28,,,,,,,
SUNY at Buffalo,1990,47,37,,,,,,,
Southern Methodist U. ,1990,61,34,,,,,,,
Syracuse U.,1990,61,27,,,,,,,
Temple U.,1990,67,22,,,,,,,
Texas A&M U. at College Station,1990,85,43,,,,,,,
U. of Alabama at Birmingham,1990,65,,,,,,,,
U. of Texas at Austin,1990,62,52,,,,,,,
U. of Colorado at Boulder,1990,69,33,,,,,,,
U. of Florida,1990,53,,,,,,,,
U. of Iowa,1990,84,24,,,,,,,
U. of Kentucky,1990,69,,,,,,,,
U. of Maryland at College Park,1990,55,24,,,,,,,
U. of Minnesota at Twin Cities,1990,67,25,,,,,,,
U. of Missouri at Columbia,1990,77,29,,,,,,,
U. of Pittsburgh at Main Campus,1990,72,27,,,,,,,
U. of Tennessee at Knoxville,1990,79,25,,,,,,,
U. of Utah,1990,90,10,,,,,,,
Washington State U.,1990,88,8,,,,,,,
Arizona State U.,1990,77,23,,,,,,,
Auburn U. Main Campus,1990,85,23,,,,,,,
Baylor U.,1990,88,29,,,,,,,
Bolwing Green State U.,1990,64,22,,,,,,,
Brigham Young U. at Provo,1990,77,35,,,,,,,
Florida Atlantic U.,1990,29,95,,,,,,,
Kansas State U.,1990,83,25,,,,,,,
Mississippi State U.,1990,72,37,,,,,,,
Ohio U.,1990,73,20,,,,,,,
Oklahoma State U.,1990,79,24,,,,,,,
Oregon State U.,1990,85,,,,,,,,
Texas Christian U.,1990,80,28,,,,,,,
U. of Alabama at Tuscaloosa,1990,80,9,,,,,,,
U. of Arizona,1990,79,31,,,,,,,
U. of Arkansas at Fayetteville,1990,98,,,,,,,,
U. of Cincinnati,1990,86,24,,,,,,,
U. of Hawaii at Manoa,1990,72,,,,,,,,
U. of Houston Main Campus,1990,72,32,,,,,,,
U. of Idaho,1990,96,20,,,,,,,
U. of Kansas,1990,71,,,,,,,,
U. of Louisville,1990,68,,,,,,,,
U. of Mississippi,1990,88,20,,,,,,,
U. of Nebraska at Lincoln,1990,84,18,,,,,,,
U. of New Mexico,1990,90,28,,,,,,,
U. of Oklahoma,1990,95,27,,,,,,,
U. of Oregon,1990,73,,,,,,,,
U. of South Carolina at Columbia,1990,79,26,,,,,,,
U. of South Florida,1990,59,,,,,,,,
U. of Tulsa,1990,92,39,,,,,,,
U. of Wyoming,1990,87,28,,,,,,,
UtahState U. ,1990,95,26,,,,,,,
Ball State U.,1990,76,6,,,,,,,
Kent State U.,1990,96,14,,,,,,,
Louisiana Tech U.,1990,100,7,,,,,,,
Middle Tennessee State U.,1990,77,,,,,,,,
New Mexico State U.,1990,91,,,,,,,,
Northern Illinois U.,1990,67,17,,,,,,,
Texas Tech U.,1990,80,,,,,,,,
U. of Akron,1990,79,,,,,,,,
U. of Nevada at Reno,1990,59,,,,,,,,
U. of North Texas ,1990,67,15,,,,,,,
U. of Southern Mississippi,1990,75,,,,,,,,
U. of Toledo,1990,95,,,,,,,,
West Virginia U.,1990,76,,,,,,,,
Western Michigan U.,1990,71,23,,,,,,,
Harvard University,1990,18,90,,,100,3,,,
Stanford University,1990,18,92,,,99.9,1,,,
Yale University,1990,19,90,,,99.6,4,,,
Princeton Univ,1990,17,89,,,98.5,5,,,
California Institute of Technology,1990,31,98,,,98.2,13,,,
Massachusetts Institute of Technology,1990,30,95,,,98.1,2,,,
Duke University,1990,25,91,,,96.8,8,,,
Dartmouth College,1990,25,86,,,95.1,15,,,
Cornell Univ,1990,30,85,,,94.7,7,,,
Columbia Univ,1990,29,78,,,94.4,12,,,
University of Chicago,1990,45,74,,,94.3,10,,,
Brown Univ,1990,24,80,,,92.5,14,,,
University of Pennsylvania,1990,41,87,,,92,16,,,
University of California at Berkeley,1990,37,95,,,92,6,,,
Johns Hopkins University,1990,48,69,,,91.7,9,,,
Rice University,1990,24,85,,,91,23,,,
University of California at Los Angeles,1990,43,96,,,89.9,21,,,
University of Virginia,1990,37,77,,,89.3,18,,,
Georgetown University,1990,24,79,,,89,30,,,
University of North Carolina at Chapel Hill,1990,32,82,,,87.5,18,,,
University of Michigan,1990,60,71,,,86.2,11,,,
Carnegie Mellon University,1990,64,52,,,86.1,24,,,
Northwestern University,1990,47,77,,,85.7,17,,,
Washington University,1990,54,71,,,85.2,29,,,
University of Rochester,1990,56,52,,,84.8,50,,,
Boston College,1991,45,76,,,,,1100-1283,,
Georgia Inst. Of Tech,1991,69,72,,,,,1092-1312,,
Penn State Univ. at Univ Park,1991,50,46,,,,,980-1210,,
Rutgers State Uni at New Brunswick,1991,54,40,,,,,1000-1240,,
Tulane University,1991,72,36,,,,,,,
University of Florida,1991,67,53,,,,,1040-1240,,
University of Illinois at Urbana,1991,77,58,,,,,1015-1260,,
Univrsity of Minnesota at Twin Cities,1991,70,27,,,,,900-1190,,
University of Notre Dame,1991,37,80,,,,,1160-1360,,
University of Southern California,1991,70,40,,,,,980-1210,,
University of Texas at Austin,1991,67,49,,,,,,,
University of Washington,1991,75,54,,,,,910-1170,,
University of Wisconson at Madison,1991,72,33,,,,,959-1230,,
Clemson University,1991,68,38,,,,,910-1120,,
Florida State,1991,61,50,,,,,,,
Indiana U. at Bloomington,1991,76,29,,,,,,,
Iowa State,1991,88,27,,,,,21-27,,
Miami U.,1991,78,47,,,,,1050-1230,,
Michigan State U.,1991,78,26,,,,,860-1110,,
North Carolina State U. at Raleigh,1991,65,39,,,,,950-1170,,
Ohio State,1991,85,23,,,,,800-1150,,
Purdue U. at West Lafayette,1991,81,35,,,,,880-1240,,
Rutgers State U. at Newark,1991,45,22,,,,,810-1060,,
Southern Methodist U.,1991,63,40,,,,,,,
Syracuse U.,1991,64,28,,,,,990-1200,,
Temple U.,1991,65,17,,,,,880-1090,,
Texas A&M U. at College Station,1991,88,44,,,,,930-1170,,
U. of Alabama at Birmingham,1991,83,,,,,,,,
U. of Arizona,1991,71,32,,,,,860-1140,,
U. of Cincinnati,1991,79,23,,,,,870-1140,,
U. of Colorado at Bolder,1991,74,32,,,,,970-1190,,
U. of Connecticut at Storrs,1991,69,24,,,,,930-1140,,
U. of Georgia,1991,79,33,,,,,930-1140,,
U. of Hawaii at Manoa,1991,73,,,,,,,,
U. of Illinois at Chicago,1991,65,23,,,,,17-23,,
U. of Iowa,1991,85,25,,,,,22-27,,
U. of Kentucky,1991,78,,,,,,21-26,,
U. of Maryland at College Park,1991,61,35,,,,,1010-1190,,
U. of Miami,1991,74,38,,,,,940-1220,,
U. of Missouri at Columbia,1991,75,30,,,,,22-28,,
U. of Missouri at Kansas City,1991,58,39,,,,,,,
U. of Missouri at Rolla,1991,99,44,,,,,24-30,,
U. of Pittsburgh- Main Campus,1991,88,27,,,,,910-1120,,
U. of Tennessee at Knoxville,1991,77,28,,,,,850-1120,,
U. of Utah,1991,92,13,,,,,,,
Virgina Tech,1991,70,39,,,,,960-1200,,
Arizona State,1991,77,23,,,,,,,
Auburn U.- Main Campus,1991,79,23,,,,,965-1175,,
Baylor,1991,93,30,,,,,920-1160,,
Bowling Green State U.,1991,70,19,,,,,840-1080,,
Brigham Young U.,1991,76,45,,,,,,,
Colorado State,1991,67,22,,,,,860-1110,,
Florida Atlantic,1991,43,,,,,,,,
Kansas State,1991,79,25,,,,,19-26,,
Louisiana State U. at Baton Rouge,1991,78,27,,,,,20-25,,
Mississippi State,1991,71,40,,,,,19-27,,
Ohio U.,1991,78,30,,,,,950-1110,,
Oklahoma State,1991,79,24,,,,,,,
Oregon State,1991,78,,,,,,808-1085,,
Tzexas Christian U.,1991,80,25,,,,,890-1120,,
U. of Alabama at Tuscaloosa,1991,75,36,,,,,840-1080,,
U. of Arkansas at Fayetteville,1991,87,25,,,,,17-25,,
U. of Houston- Main Campus,1991,72,32,,,,,,,
U. of Idaho,1991,96,21,,,,,830-1110,,
U. of Kansas,1991,85,20,,,,,20-27,,
"U. of Maryland, Baltimore County",1991,65,24,,,,,900-1110,,
U. of Mississippi,1991,87,25,,,,,21-25,,
U. of Nebraska at Lincoln,1991,96,18,,,,,,,
U. of Nevada at Reno,1991,65,,,,,,,,
U. of New Mexico-Main Campus,1991,84,27,,,,,19-24,,
U. of Oklahoma,1991,97,28,,,,,21-26,,
U. of Oregon,1991,84,,,,,,900-1160,,
U. of South Carolina at Columbia,1991,81,29,,,,,850-1080,,
U. of South Florida,1991,54,,,,,,900-1140,,
Utah State,1991,91,26,,,,,,,
Washington State,1991,84,33,,,,,820-1080,,
West Virginia,1991,71,23,,,,,830-1040,,
Ball State U.,1991,72,6,,,,,,,
Kent State,1991,77,13,,,,,770-1010,,
Louisiana Tech,1991,100,15,,,,,,,
Middle Tennessee,1991,63,,,,,,,,
Mississippi College,1991,89,30,,,,,,,
New Mexico State,1991,88,,,,,,,,
Northern Illinois U.,1991,72,14,,,,,19-25,,
Texas Tech,1991,76,17,,,,,,,
U. of Akron,1991,77,,,,,,724-1074,,
U. of Louisville,1991,65,,,,,,,,
U. of Missouri at St. Louis,1991,70,18,,,,,,,
U. of North Carolina at Greensboro,1991,71,19,,,,,860-1060,,
U. of North Texas,1991,73,18,,,,,,,
U. of Southern Mississippi,1991,73,,,,,,,,
U. of Texas at Arlington,1991,74,18,,,,,750-1090,,
U. of Toledo,1991,91,,,,,,17-23,,
U. of Tulsa,1991,91,31,,,,,930-1200,,
U. of Wisconsin at Milwaukee,1991,75,12,,,,,,,
U. of Wyoming,1991,91,22,,,,,,,
Western Michigan,1991,72,20,,,,,20-25,,
Harvard University,1991,18,90,,,100,1,1270-1470,,
Yale University,1991,20,95,,,99.5,3,1270-1460,,
Stanford University,1991,22,90,,,99.1,3,1270-1460,,
Princeton University,1991,17,89,,,98.7,3,,,
California Institute of Technology,1991,30,98,,,98.7,7,,,
Mass Institute of Technology,1991,32,94,,,97.7,1,1290-1460,,
Duke University,1991,33,90,,,96.1,11,1220-1390,,
Dartmouth College,1991,26,82,,,95.9,15,1220-1400,,
Columbia University,1991,28,79,,,95.7,11,1150-1400,,
University of Chicago,1991,46,70,,,95.4,7,1190-1390,,
Johns Hopkins Univ,1991,53,67,,,94.9,7,1230-1400,,
Cornell University,1991,30,82,,,94.5,7,1180-1380,,
Univ of Pennsylvania,1991,42,83,,,93.4,11,1190-1380,,
Northwestern Univ,1991,46,82,,,92.4,15,1140-1350,,
Rice University,1991,25,86,,,91.5,24,1206-1440,,
Univ of California at Berkeley,1991,38,95,,,90.9,3,1070-1350,,
Brown University,1991,23,80,,,90.7,15,1180-1410,,
Washington University,1991,59,62,,,88.9,29,1100-1310,,
Vanderbilt University,1991,59,55,,,88.7,26,1090-1290,,
Georgetown University,1991,29,68,,,88.7,35,1125-1330,,
Univ of Virginia,1991,32,72,,,88.4,15,1100-1330,,
Univ of Michigan,1991,60,69,,,87.3,11,1070-1290,,
Univ of California at Los Angeles,1991,43,90,,,86.6,15,980-1280,,
Carnegie Mellon,1991,65,53,,,85.8,24,1100-1350,,
Univ of N. Carolina at Chapel Hill,1991,37,76,,,85.5,21,990-1230,,
Boston College,1993,46,69,28,,,,1110-1290,,
Georgia Inst. Of Tech.,1993,51,76,27,,,,1140-1340,,
Rutgers State U. at New Brunswick,1993,54,38,17,,,,1000-1230,,
Tulane U.,1993,73,47,23,,,,1030-1280,,
U. of Illinois at Urbana-Champaign,1993,72,55,14,,,,1024-1277,,
U. of N. Carolina at Chapel Hill,1993,35,76,21,,,,1000-1250,,
U. of Southern California,1993,68,44,12,,,,970-1230,,
U. of Texas at Austin,1993,65,48,11,,,,1009-1251,,
U. of Washington,1993,56,40,12,,,,920-1170,,
U. of Wisconsin at Madison,1993,73,35,18,,,,940-1220,,
Clemson U.,1993,67,36,26,,,,930-1140,,
Florida State U.,1993,72,50,10,,,,980-1190,,
Indiana U. at Bloomington,1993,84,24,13,,,,,,
Iowa State U.,1993,88,27,21,,,,830-1160,,
Miami U. at Oxford,1993,77,41,23,,,,1020-1200,,
Michigan State U.,1993,81,26,10,,,,860-1110,,
N. Carolina State U. at Raleigh,1993,62,38,11,,,,940-1170,,
Ohio State U. at Columbus,1993,79,26,16,,,,850-1160,,
Penn State U. at Univ. Park,1993,47,42,19,,,,980-1210,,
Purdue U. at West Lafayette,1993,83,34,15,,,,880-1150,,
Rutgers State U. at Newark,1993,47,23,16,,,,840-1060,,
Syracuse U.,1993,72,28,17,,,,990-1200,,
TexaS A&M U. at College Station,1993,71,49,32,,,,950-1180,,
Texas Christian U.,1993,79,33,22,,,,890-1120,,
U. of Arizona,1993,86,30,13,,,,860-1110,,
U. of Cincinnati,1993,83,26,13,,,,850-1120,,
U. of Colorado at Boulder,1993,76,28,12,,,,970-1180,,
U. of Connecticut at Storrs,1993,70,23,15,,,,920-1130,,
University of Florida,1993,66,50,18,,,,1040-1250,,
University of Georgia,1993,64,40,19,,,,980-1180,,
University of Iowa,1993,87,23,13,,,,22-27,,
U. of Kansas,1993,70,25,13,,,,20-26,,
U. of Maryland at College Park,1993,73,24,13,,,,970-1190,,
U. of Miami,1993,80,38,17,,,,940-1210,,
U. of Minnesota at Twin Cities,1993,58,26,11,,,,920-1220,,
U. of Missouri at Columbia,1993,77,32,18,,,,900-1190,,
U. of Pittsburgh at Main Campus,1993,76,21,15,,,,890-1100,,
U. of Tennessee at Knoxville,1993,73,27,12,,,,870-1120,,
U. of Tulsa,1993,91,42,15,,,,950-1220,,
Virginia Tech,1993,65,32,22,,,,970-1200,,
Arizona State U.,1993,82,23,8,,,,840-1090,,
Auburn U. at Main Campus,1993,89,24,22,,,,974-1180,,
Baylor U.,1993,88,40,10,,,,930-1160,,
Bowling Green State U.,1993,75,13,15,,,,830-1070,,
Brigham Young U. at Provo,1993,73,48,,,,,24-29,,
Colorado State U.,1993,68,23,12,,,,,,
Kansas State U.,1993,69,25,27,,,,19-26,,
Louisiana State U. at Baton Rouge,1993,79,26,9,,,,20-26,,
Mississippi State U.,1993,49,41,19,,,,19-26,,
Ohio U.,1993,73,21,15,,,,21-25,,
Oklahoma State U.,1993,90,29,16,,,,21-27,,
Oregon State U.,1993,84,,18,,,,827-1090,,
Temple U.,1993,64,17,14,,,,867-1071,,
Texas Tech U.,1993,70,25,20,,,,840-1050,,
U. of Alabama at Birmingham,1993,95,,16,,,,,,
U. of Houston at Main Campus,1993,60,22,11,,,,860-1090,,
U. of Idaho,1993,95,23,18,,,,830-1110,,
U. of Kentucky,1993,76,,15,,,,22-27,,
U. of Louisville,1993,71,19,20,,,,,,
U. of Nebraska at Lincoln,1993,96,16,,,,,,,
U. of New Mexico at Main Campus,1993,84,27,11,,,,19-24,,
U. of Oklahoma,1993,86,32,7,,,,21-26,,
U. of Oregon,1993,81,25,13,,,,900-1140,,
U. of South Carolina at Columbia,1993,82,24,19,,,,820-1060,,
U. of South Florida,1993,77,27,5,,,,920-1150,,
U. of Utah,1993,92,,6,,,,870-1161,,
U. of Wyoming,1993,82,23,12,,,,20-26,,
Utah State U.,1993,91,26,10,,,,790-1060,,
Washington State U.,1993,91,31,32,,,,780-1020,,
Ball State U.,1993,79,16,19,,,,610-955,,
Florida Atlantic U.,1993,68,,1,,,,920-1140,,
Kent State U.,1993,81,10,7,,,,750-1000,,
Louisiana Tech U.,1993,89,21,10,,,,18-24,,
New Mexico State U.,1993,79,,11,,,,,,
U. of Akron,1993,95,,16,,,,748-1074,,
U. of Alabama at Tuscaloosa,1993,93,,33,,,,20-25,,
U. of Arkansas at Fayetteville,1993,98,25,10,,,,19-25,,
U. of Hawaii at Manoa,1993,71,,8,,,,850-1090,,
U. of Mississippi,1993,86,19,12,,,,19-25,,
U. of Nevada at Reno,1993,96,,,,,,810-1020,,
U. of North Texas,1993,68,16,6,,,,,,
U. of Southern Mississippi,1993,77,20,7,,,,,,
U. of Toledo,1993,97,,7,,,,740-1140,,
West Virginia U.,1993,81,23,13,,,,810-1010,,
Western Michigan U.,1993,76,24,11,,,,20-25,,
Harvard University (MA),1993,16,90,27,,100,1,1290-1480,,
Princeton University (NJ),1993,16,90,44,,99.6,1,1260-1450,,
Yale University (CT),1993,22,95,42,,99.4,5,1250-1440,,
Mass. Inst. of Tech.,1993,33,94,34,,99.1,1,1290-1460,,
Calif. Inst. of Technology,1993,28,98,33,,98.7,7,1350-1480,,
Stanford University (CA),1993,22,91,18,,97.6,1,1250-1440,,
Duke University (NC),1993,27,88,47,,97.5,7,1220-1410,,
Dartmouth College (NH),1993,26,85,54,,96.2,16,1230-1410,,
University of Chicago (IL),1993,44,71,35,,95.2,7,1190-1410,,
Cornell University (NY),1993,32,84,26,,94.9,7,1170-1380,,
Columbia University (NY),1993,30,78,17,,94.8,7,1200-1400,,
Brown University (RI),1993,24,87,36,,94,16,1190-1410,,
Northwestern University (IL),1993,42,85,23,,93.4,16,1140-1340,,
Rice University (TX),1993,19,86,41,,93.3,23,1257-1471,,
Johns Hopkins University (MD),1993,43,72,30,,92.2,7,1230-1400,,
University of Pennsylvania,1993,40,83,39,,90.3,14,1190-1390,,
Georgetown University (DC),1993,29,68,24,,89.4,31,1130-1330,,
Washington University (MO),1993,65,65,28,,88.7,26,1120-1320,,
Univ. of Calif. at Berkeley,1993,43,95,9,,88.6,5,1100-1370,,
Vanderbilt University (TN),1993,56,64,26,,88.4,26,1090-1300,,
University of Virginia,1993,35,74,30,,87,16,1110-1330,,
Univ. of Calif. at Los Angeles,1993,42,93,12,,86.9,16,1020-1300,,
University of Michigan,1993,69,64,20,,86.7,7,1070-1300,,
Carnegie Mellon University (PA),1993,59,58,30,,86.5,25,1130-1350,,
Emory University (GA),1993,58,71,23,,86.1,36,1110-1300,,
University of Notre Dame (IN),1993,49,78,46,,86.1,36,1160-1370,,
Boston College,1994,47,66,27,,,65,,1210,
Boston University,1994,64,45,16,,,58,,1150,
Brandeis University,1994,66,48,24,,,42,,1215,
Case Wester Reserve University,1994,81,71,29,,,42,,1235,
College of William and Mary,1994,44,68,31,,,37,,1240,
Colorado School of Mines,1994,81,65,22,,,76,,1200,
Georgia Institute of Technology,1994,58,89,33,,,31,,1240,
Lehigh University,1994,67,40,43,,,76,,1140,
New York University,1994,53,70,16,,,51,,1145,
Pennsylvania State Univ. Main Campus,1994,54,48,19,,,31,,1096,
Pepperdine University,1994,53,86,13,,,107,,1070,
Rensselaer Polytechnic Institute,1994,83,53,21,,,51,,1190,
Rutgers at New Brunswick,1994,55,36,19,,,42,,1110,
SUNY at Binghamton,1994,43,60,15,,,83,,1150,
Tufts University,1994,47,60,22,,,51,,1240,
Tulane University,1994,73,47,21,,,51,,1168,
University of California at Davis,1994,70,95,11,,,42,,1075,
University of California at Irvine,1994,69,85,11,,,58,,1025,
University of California at Los Angeles,1994,47,93,9,,,21,,1154,
University of California at San Diego,1994,59,95,6,,,42,,1135,
University of California at Santa Barbara,1994,85,90,6,,,65,,1010,
University of Florida,1994,71,54,20,,,42,,1135,
University of Illinois-Urbana,1994,78,52,13,,,21,,1150,
University of Iowa,1994,87,23,37,,,37,,25,
University of Minnesota Twin Cities,1994,58,26,37,,,26,,1060,
University of North Carolina at Chapel Hill,1994,41,75,23,,,16,,1045,
University of Rochester,1994,63,56,23,,,51,,1140,
University of Southern California,1994,,45,10,,,42,,1090,
University of Texas at Austin,1994,65,48,11,,,21,,1135,
Universiy of Washington,1994,55,40,10,,,26,,1055,
University of Wisconsin at Madison,1994,73,36,20,,,16,,1085,
Wake Forest University,1994,42,75,37,,,76,,1250,
American University,1994,78,35,9,,,107,,1133,
Auburn University-Main Campus,1994,90,25,18,,,76,,1085,
Baylor University,1994,88,34,38,,,76,,1045,
Catholic University of America,1994,84,24,18,,,120,,1065,
Clark University,1994,71,30,35,,,107,,1065,
Clarkson University,1994,90,35,32,,,136,,1130,
Clemson University,1994,65,37,17,,,98,,1045,
Colorado State University,1994,67,29,10,,,107,,1035,
Florida State University,1994,75,50,15,,,76,,1080,
Fordham University,1994,68,30,14,,,83,,1070,
George Washington University,1994,64,38,15,,,65,,1135,
Illinois Institute of Technology,1994,77,42,26,,,107,,1105,
Indiana University at Bloomington,1994,80,25,24,,,26,,996,
Iowa State University,1994,88,26,22,,,65,,1005,
Loyola University Chicago,1994,83,25,15,,,120,,1015,
Marquette University,1994,89,36,25,,,107,,1055,
Miami University at Oxford,1994,84,35,20,,,76,,1105,
Michigan State University,1994,83,23,9,,,42,,980,
Michigan Technological University,1994,87,42,25,,,151,,1130,
New Jersey Institute of Technology,1994,65,27,19,,,168,,1070,
North Carolina State University at Raleigh,1994,66,39,21,,,83,,1055,
Ohio State University at Columbus,1994,85,24,17,,,31,,995,
Ohio University,1994,75,21,13,,,83,,995,
Polytechnic University,1994,75,58,14,,,168,,1100,
Purdue University at West Lafayette,1994,86,29,15,,,31,,995,
Rutgers State University at Newark,1994,46,26,16,,,136,,985,
SUNY at Albany,1994,68,16,16,,,83,,1070,
SUNY at Buffalo,1994,64,36,15,,,65,,1100,
SUNY at Stony Brook,1994,56,27,7,,,65,,998,
Saint Louis University,1994,87,44,19,,,120,,1035,
Southern Methodist University,1994,80,41,17,,,83,,25,
Stevens Institute of Technology,1994,71,51,33,,,151,,1180,
Syracuse University,1994,69,28,13,,,58,,1085,
Texas A&M University at College Station,1994,73,49,29,,,51,,1065,
University of Arizona,1994,87,29,                                           ,,,37,,985,
University of Calfornia at Riverside,1994,77,80,8,,,83,,980,
University of California at Santa Cruz,1994,80,94,10,,,83,,1065,
University of Cincinnati,1994,81,26,6,,,120,,995,
University of Colorado at Boulder,1994,66,28,                                           ,,,37,,1055,
University of Connecticut at Storrs,1994,74,23,16,,,83,,1030,
University of Delaware,1994,73,22,15,,,83,,1045,
University of Denver,1994,67,29,21,,,151,,1015,
University of Georgia,1994,70,43,22,,,58,,1100,
University of Kansas,1994,65,25,17,,,51,,23,
University of Kentucky,1994,73,                                           ,12,,,83,,24,
University of Maryland at College Park,1994,72,22,12,,,42,,1080,
University of Massachusetts at Amherst,1994,86,12,15,,,65,,990,
University of Miami,1994,76,42,17,,,83,,1060,
University of Missouri at Columbia,1994,71,32,15,,,58,,1045,
University of Missouri at Rolla,1994,97,49,23,,,120,,1190,
University of Nebraska at Lincoln,1994,96,33,48,,,65,,960,
University of Pittsburgh-Main Campus,1994,74,25,10,,,58,,1010,
University of San Diego,1994,70,40,13,,,120,,1035,
University of Tennessee at Knoxville,1994,72,27,22,,,65,,995,
University of Vermont,1994,78,18,10,,,98,,1045,
Virginia Tech,1994,75,29,20,,,65,,1080,
Worcester Polytechnic Institute,1994,84,49,34,,,120,,1190,
Arizona State University of Main Campus,1994,80,24,5,,,65,,965,
Bowling Green State University,1994,79,14,14,,,168,,935,
Brigham Young University at Provo,1994,73,48,40,,,83,,27,
DePaul University,1994,74,30,25,,,136,,1045,
Drexel University,1994,85,23,18,,,120,,1010,
Duquesne University,1994,84,34,19,,,168,,1010,
Florida Institute of Technology,1994,81,39,7,,,193,,1065,
George Mason University,1994,77,17,7,,,98,,990,
Hahnemann University,1994,36,                                           ,15,,,168,,931,
Hofstra University,1994,79,25,10,,,136,,1030,
Howard University,1994,32,                                           ,4,,,120,,865,
Indiana University of Pennsylvania,1994,51,19,20,,,214,,951,
Kansas State University,1994,69,25,22,,,98,,23,
Kent State University,1994,33,10,                                           ,,,151,,875,
Louisiana State University at Baton Rouge,1994,83,29,11,,,107,,1005,
New School for Social Research,1994,62,                                           ,9,,,107,,1089,
Northeastern University,1994,71,16,17,,,120,,995,
Oklahoma State University,1994,87,29,14,,,136,,1020,
Oregon State University,1994,84,                                           ,                                           ,,,98,,957,
Pace University,1994,45,37,10,,,193,,950,
Seton Hall University,1994,78,16,15,,,151,,935,
Temple University,1994,64,15,                                           ,,,98,,972,
Texas Christian Unviersity ,1994,75,33,23,,,136,,1010,
Texas Tech University,1994,80,25,24,,,136,,980,
University of Alabama at Birmingham,1994,70,24,16,,,107,,21,
University of Alabama at Tuscaloosa,1994,79,                                           ,29,,,120,,23,
University of Arkansas at Fayetteville,1994,96,25,10,,,136,,23,
University of Colorado at Denver,1994,47,30,6,,,151,,1007,
University of Hawaii at Manoa,1994,73,36,6,,,136,,975,
University of Idaho,1994,89,24,18,,,136,,960,
University of Illinois at Chicago,1994,68,22,6,,,98,,21,
University of Louisville,1994,64,16,24,,,136,,21,
University of Maine at Orono,1994,87,23,                                           ,,,151,,985,
University of Maryland at Baltimore County,1994,61,27,6,,,168,,1075,
University of Mississippi,1994,88,26,14,,,136,,23,
University of Missouri at Kansas City,1994,70,33,8,,,151,,25,
University of New Hampshire,1994,78,24,16,,,107,,1020,
University of New Mexico-Main Campus,1994,87,27,                                           ,,,107,,965,
University of North Carolina at Greensboro,1994,80,15,17,,,151,,950,
University of North Dakota,1994,81,20,16,,,168,,990,
University of Oklahoma,1994,84,32,11,,,83,,24,
University of Oregon,1994,78,25,13,,,58,,1020,
University of Rhode Island,1994,80,12,7,,,120,,955,
University of San Francisco,1994,75,23,8,,,120,,975,
University of South Carolina at Columbia,1994,76,30,18,,,98,,980,
University of South Florida,1994,62,29,7,,,168,,1045,
University of Texas at Dallas,1994,72,46,                                           ,,,136,,1195,
Universtiy of Tulsa,1994,91,41,10,,,168,,1095,
University of Utah,1994,88,27,9,,,83,,1015,
University of Wisconsin at Milwaukee,1994,72,12,8,,,107,,23,
University of Wyoming,1994,75,23,13,,,151,,23,
Utah State University,1994,89,26,10,,,151,,925,
Virginia Commonwealth University,1994,70,18,11,,,120,,935,
Washington State University,1994,89,31,30,,,98,,920,
