School,Year,Total Support,Alumni,Others,Foundations,Corporations and Businesses,Total No. of Alumni of Record,No. of Alumni Solicited,No. of Alumni Donors
"New Mexico State University (Las Cruces, NM) ",1995,3901,610,1880,564,692,51550,51550,3899
"New Mexico State University (Las Cruces, NM) ",1996,4596,958,1182,608,1525,52937,42000,6077
"New Mexico State University (Las Cruces, NM) ",1997,4642,1120,2084,392,893,53671,52471,6107
"New Mexico State University (Las Cruces, NM) ",1998,6392,1711,3296,364,896,55923,43994,5711
"North Carolina State Univ. at Raleigh (Raleigh, NC) ",1990,26400382,4998491,6823379,745634,13060664,75967,75967,21079
"North Carolina State Univ. at Raleigh (Raleigh, NC) ",1991,29531870,4228039,2077263,728202,21360823,80306,80306,
"North Carolina State Univ. at Raleigh (Raleigh, NC) ",1992,31607121,9048915,1399680,2352669,17933055,87536,82231,18655
"North Carolina State Univ. at Raleigh (Raleigh, NC) ",1993,47205056,6555819,3189148,1216437,18457329,,,17777
"North Carolina State Univ. at Raleigh (Raleigh, NC) ",1995,41645,6819,3757,2109,26486,98618,95732,17714
"North Carolina State Univ. at Raleigh (Raleigh, NC) ",1996,45384,6693,4222,2208,28263,97625,96722,17941
"North Carolina State Univ. at Raleigh (Raleigh, NC) ",1997,51165,8451,6114,2200,31500,105597,100290,20016
"North Carolina State Univ. at Raleigh (Raleigh, NC) ",1998,67775,14863,10829,3631,33723,108660,108660,20792
"Northern Illinois University (DeKalb, IL) ",1990,2953491,454940,369642,403920,1371271,127399,91867,10799
"Northern Illinois University (DeKalb, IL) ",1991,4247873,508397,508980,350761,2415532,101825,100487,13609
"Northern Illinois University (DeKalb, IL) ",1992,3759702,581658,730907,350107,1350025,105170,103790,11311
"Northern Illinois University (DeKalb, IL) ",1993,4060188,723807,606723,551807,1700957,107113,106168,12305
"Northern Illinois University (DeKalb, IL) ",1995,7985,666,2379,449,3750,110648,67502,11122
"Northern Illinois University (DeKalb, IL) ",1996,4084,1167,732,1,2131,135259,39391,10060
"Northern Illinois University (DeKalb, IL) ",1997,5323,1209,1367,90,2563,134481,59746,11213
"Northern Illinois University (DeKalb, IL) ",1998,5427,1071,1690,890,1559,139000,134339,10679
"Northwestern University (Evanston, IL) ",1990,68075921,16331195,8496839,17952543,17656746,134769,123346,32257
"Northwestern University (Evanston, IL) ",1991,70849657,17346017,10709456,19007946,16293430,138038,128419,31560
"Northwestern University (Evanston, IL) ",1992,102631614,28551093,32557620,19243424,17497121,137999,100000,31201
"Northwestern University (Evanston, IL) ",1993,92982890,20029083,16280371,24652901,18544107,138345,100000,31504
"Northwestern University (Evanston, IL) ",1995,101041,27561,14993,27782,18562,148625,100000,32250
"Northwestern University (Evanston, IL) ",1996,107828,27859,20716,33549,15382,151463,100000,33315
"Northwestern University (Evanston, IL) ",1997,124633,52293,13863,30213,15324,152976,105000,32102
"Northwestern University (Evanston, IL) ",1998,196347,107221,11801,36750,23544,154983,106000,31370
"Ohio State University (Columbus, OH) ",1990,63272652,11581159,9731906,5962107,23841151,277336,272174,42719
"Ohio State University (Columbus, OH) ",1991,74295747,16547714,10710626,6300837,27728775,286400,280670,46079
"Ohio State University (Columbus, OH) ",1992,71452488,11971736,10539244,8552983,28914874,289900,285443,48540
"Ohio State University (Columbus, OH) ",1993,89200327,21433235,10921484,8786899,33534920,294400,278591,50031
"Ohio State University (Columbus, OH) ",1995,92894,18120,9898,11349,42279,309700,285800,52260
"Ohio State University (Columbus, OH) ",1996,124077,34059,13349,12172,48251,316200,290000,52320
"Ohio State University (Columbus, OH) ",1997,129040,32747,14435,13990,52564,311313,218311,53352
"Ohio State University (Columbus, OH) ",1998,139432,25071,18624,14073,64328,309573,216701,53413
"Ohio University (Athens, OH) ",1990,11634320,3559545,896830,1253149,5211366,92781,89831,16655
"Ohio University (Athens, OH) ",1991,11063347,2846055,1349329,1625684,3129561,96340,96340,16599
"Ohio University (Athens, OH) ",1992,12025109,4941973,1169054,1616260,3381221,100538,100538,13712
"Ohio University (Athens, OH) ",1993,14833115,4287216,1064212,2221794,6138598,111000,110300,14502
"Ohio University (Athens, OH) ",1995,17807,10595,1166,1614,3360,117788,117000,18927
